IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.64.64,185,202,192,0
104.24.233.245,185,216,192,0
104.25.237.107,162,224,193,0
104.24.0.165,174,213,193,0
104.20.6.73,176,201,194,0
104.24.185.212,181,216,194,0
104.24.141.195,186,216,195,0
104.19.43.201,162,223,195,0
104.19.192.254,182,204,195,0
104.20.251.103,183,209,195,0
104.24.50.22,183,214,195,0
104.24.219.182,183,225,196,0
162.159.251.184,174,211,196,0
104.24.220.43,184,209,196,0
104.25.234.87,184,216,197,0
104.20.200.221,188,224,197,0
104.25.207.206,180,238,197,0
104.24.49.218,178,211,197,0
104.20.221.104,182,224,197,0
104.21.60.30,182,213,197,0
104.27.35.51,176,213,198,0
104.24.42.243,184,225,199,0
104.24.40.222,184,227,199,0
104.20.32.238,186,224,199,0
104.25.232.25,179,227,199,0
104.23.117.34,187,212,199,0
104.20.143.83,184,228,199,0
104.25.239.119,192,213,199,0
104.20.198.204,187,226,199,0
104.20.44.192,184,238,200,0
104.24.39.22,187,233,200,0
104.19.62.79,180,224,200,0
104.25.236.204,185,223,200,0
104.24.55.172,179,224,200,0
104.20.37.211,185,213,201,0
104.21.53.36,184,219,201,0
104.21.1.251,191,221,201,0
104.24.41.168,179,239,201,0
104.25.213.86,184,222,201,0
104.24.63.240,190,217,201,0
104.20.47.181,184,225,202,0
104.19.42.171,182,214,202,0
104.20.222.126,179,232,202,0
104.24.235.179,189,221,203,0
104.20.203.188,188,227,203,0
104.20.254.161,189,221,203,0
104.24.187.171,188,245,203,0
104.24.45.98,188,220,203,0
172.66.3.102,190,222,203,0
104.24.228.6,188,227,204,0
104.22.65.97,178,226,204,0
104.24.226.56,193,225,204,0
104.20.34.9,189,235,204,0
104.20.193.58,191,224,204,0
104.24.210.234,185,220,204,0
104.24.230.110,192,215,204,0
104.24.223.150,185,227,204,0
104.27.207.203,189,223,204,0
188.114.99.131,186,234,204,0
104.25.200.102,192,225,205,0
104.20.39.255,186,246,205,0
104.24.211.233,186,227,205,0
104.20.78.69,183,233,205,0
104.20.36.80,186,232,205,0
104.24.46.207,186,230,206,0
104.24.186.3,187,222,206,0
104.20.252.32,183,221,206,0
104.24.59.90,186,226,206,0
104.20.250.19,202,212,206,0
104.20.45.169,189,228,206,0
104.24.188.164,193,233,206,0
104.24.232.38,195,230,207,0
104.24.212.12,188,238,207,0
104.25.202.53,182,230,207,0
104.24.234.80,186,236,207,0
104.24.236.90,183,237,207,0
104.21.55.56,191,228,207,0
104.21.0.64,187,234,208,0
104.24.213.16,194,223,208,0
104.25.233.108,196,225,208,0
104.21.58.218,190,238,208,0
104.24.52.190,192,229,209,0
104.20.201.72,192,229,209,0
104.19.15.192,194,238,209,0
104.20.255.220,191,232,209,0
104.24.216.75,187,236,210,0
104.19.206.95,194,242,210,0
104.21.192.211,190,236,210,0
104.24.227.114,190,236,210,0
104.24.47.5,186,232,211,0
104.20.253.128,195,235,213,0
104.21.194.62,197,244,213,0
104.24.202.155,170,204,191,10
104.24.18.248,178,204,191,10
104.24.64.230,185,199,192,10
104.27.198.122,186,202,192,10
104.24.143.0,184,201,193,10
104.25.161.216,184,205,196,10
104.25.201.67,187,211,197,10
104.24.240.211,181,216,198,10
104.20.225.25,181,214,198,10
104.24.57.197,175,230,199,10
104.24.67.106,182,234,199,10
104.24.30.9,190,218,200,10
104.20.197.172,186,216,200,10
104.24.60.49,185,221,201,10
104.19.44.115,185,235,201,10
104.20.196.238,185,213,201,10
104.24.56.216,184,230,210,10
104.23.107.96,189,236,211,10
104.24.54.197,189,231,212,10
172.67.181.104,156,196,187,20
104.24.12.146,179,198,188,20
104.25.158.192,178,203,188,20
104.25.141.150,180,195,190,20
104.24.138.232,185,200,191,20
104.20.126.89,181,206,193,20
104.24.237.200,183,207,193,20
104.24.137.185,175,217,194,20
104.22.79.61,181,208,194,20
104.20.20.24,184,223,194,20
104.24.241.79,185,207,195,20
104.25.104.89,180,217,195,20
104.24.155.239,189,204,196,20
172.67.21.160,190,206,196,20
104.24.156.144,188,213,198,20
104.25.75.35,186,215,198,20
104.25.162.180,193,205,198,20
104.25.159.161,182,224,199,20
104.25.157.127,189,211,199,20
104.25.175.11,192,233,209,20
104.25.160.242,176,196,186,30
198.41.192.165,179,201,186,30
104.24.150.84,184,192,188,30
104.25.76.207,185,193,188,30
104.24.145.202,179,201,188,30
104.24.149.128,184,193,189,30
104.24.139.38,175,207,191,30
104.25.9.155,174,200,191,30
104.25.81.65,175,217,192,30
104.20.27.138,184,201,192,30
104.19.197.193,184,199,192,30
104.24.206.81,184,198,192,30
104.25.142.145,184,216,192,30
104.19.0.137,185,203,192,30
104.19.63.28,185,199,193,30
104.24.204.19,186,203,193,30
104.25.150.184,186,203,193,30
172.67.244.94,185,200,193,30
104.25.217.255,178,216,194,30
104.21.210.51,186,207,194,30
104.24.238.217,183,208,194,30
172.67.96.131,190,203,195,30
104.24.239.132,183,204,195,30
104.19.2.80,187,211,195,30
104.20.25.110,189,206,195,30
104.24.242.200,181,207,195,30
104.24.44.129,173,205,196,30
104.24.148.4,175,218,196,30
104.25.165.65,179,207,196,30
198.41.206.23,185,206,196,30
104.20.236.92,184,222,196,30
104.19.45.195,190,203,196,30
162.159.207.6,191,201,196,30
104.19.7.127,184,213,197,30
104.19.3.245,189,208,197,30
104.21.196.194,177,212,199,30
104.24.208.164,190,217,199,30
104.24.144.180,189,217,199,30
104.20.73.243,185,215,200,30
104.19.6.222,189,218,202,30
104.24.140.247,192,222,202,30
104.21.195.111,195,221,203,30
104.20.180.14,189,219,204,30
104.19.133.99,190,238,215,30
104.19.135.127,180,241,216,30
104.25.156.93,179,202,188,40
104.19.8.81,169,201,188,40
104.24.142.19,179,199,189,40
104.19.193.126,185,198,190,40
104.21.61.21,182,203,191,40
104.24.14.156,185,204,191,40
104.24.221.19,178,211,191,40
104.24.231.46,181,199,191,40
104.25.96.239,180,204,192,40
104.19.4.16,183,212,192,40
104.27.32.157,186,197,192,40
104.20.79.58,188,199,192,40
104.19.11.5,184,200,193,40
104.20.9.61,180,200,193,40
104.19.29.102,184,210,193,40
104.25.163.229,180,218,193,40
104.25.164.163,183,208,193,40
104.24.146.246,183,212,193,40
104.27.45.203,184,216,193,40
104.19.194.137,184,202,194,40
104.24.157.121,187,201,194,40
104.25.140.133,183,213,194,40
104.25.124.164,180,201,194,40
104.25.78.55,173,207,194,40
198.41.221.3,183,224,195,40
104.25.128.175,185,215,195,40
104.25.149.93,187,201,195,40
104.25.133.176,185,208,195,40
104.19.123.143,186,223,196,40
104.24.171.12,182,217,196,40
104.24.158.121,185,210,197,40
104.27.2.55,191,210,197,40
104.25.137.66,182,216,198,40
172.67.252.180,191,209,198,40
104.24.205.116,187,217,198,40
172.64.156.113,185,217,198,40
104.25.219.252,186,225,199,40
104.23.135.195,180,214,199,40
104.27.16.67,189,210,200,40
104.20.94.77,191,225,200,40
104.21.2.16,188,214,201,40
104.24.207.139,188,223,201,40
104.19.28.15,191,214,202,40
104.23.141.21,194,213,202,40
104.20.14.122,191,215,202,40
104.19.129.45,187,217,206,40
162.159.10.157,178,187,183,50
172.64.35.234,166,197,184,50
104.25.83.133,181,197,186,50
172.67.97.69,175,201,187,50
104.25.77.35,182,197,187,50
104.24.133.120,185,191,187,50
104.25.205.125,185,189,187,50
104.24.152.210,181,194,188,50
104.21.200.161,182,199,188,50
104.20.43.163,173,198,189,50
104.25.109.200,176,197,190,50
104.20.173.63,183,197,190,50
104.20.33.31,174,206,190,50
172.67.121.15,185,199,190,50
104.27.127.198,183,199,190,50
104.19.10.110,186,194,190,50
104.25.152.67,182,200,191,50
104.25.136.14,187,199,191,50
104.24.153.208,187,194,191,50
104.25.139.201,186,198,191,50
104.27.202.246,181,203,191,50
104.24.136.219,184,200,191,50
104.25.119.47,186,197,191,50
104.25.71.81,180,223,191,50
162.159.250.30,179,207,192,50
104.24.130.99,184,201,192,50
104.25.93.91,185,201,192,50
104.25.129.151,182,206,192,50
104.25.231.238,188,198,192,50
104.23.98.68,179,208,192,50
104.24.161.0,188,197,193,50
104.27.87.201,180,204,193,50
104.25.125.206,189,205,193,50
104.20.133.221,179,205,193,50
104.24.134.238,186,203,194,50
104.24.72.252,186,199,194,50
104.21.212.78,182,204,194,50
104.25.73.16,181,208,194,50
104.24.170.22,185,210,194,50
104.25.204.199,187,201,194,50
162.159.45.129,183,227,194,50
104.27.49.14,186,208,194,50
104.25.100.253,183,212,195,50
104.20.245.163,184,213,195,50
104.20.241.46,189,205,195,50
104.19.60.255,184,205,195,50
104.19.199.233,187,208,195,50
104.24.159.189,187,207,196,50
104.25.91.47,188,213,196,50
172.64.150.83,185,208,196,50
104.24.184.29,187,208,196,50
104.27.31.207,181,218,197,50
104.21.12.74,183,224,197,50
104.20.81.42,186,208,197,50
104.24.62.129,185,216,197,50
104.19.9.198,185,217,198,50
104.24.229.184,188,207,198,50
104.25.155.103,194,208,199,50
104.25.151.123,189,212,199,50
104.25.116.103,183,223,199,50
104.25.153.80,191,210,199,50
104.25.135.95,186,218,199,50
104.20.223.232,191,206,200,50
104.25.2.167,190,218,200,50
172.67.242.94,194,209,200,50
104.24.135.19,197,203,200,50
104.25.86.15,193,204,200,50
104.24.147.233,192,212,200,50
104.22.69.154,187,215,201,50
104.25.166.179,192,217,201,50
104.25.146.172,190,228,202,50
104.24.131.94,196,216,202,50
104.25.147.219,185,221,203,50
104.25.238.33,189,218,203,50
162.159.23.109,197,212,203,50
104.24.33.84,192,219,204,50
104.22.67.158,178,229,204,50
104.25.154.191,194,217,207,50
104.19.130.130,194,226,211,50
104.19.131.219,187,231,214,50
104.19.134.90,207,224,214,50
104.27.50.20,178,182,180,60
104.24.38.184,178,192,183,60
66.235.200.222,181,187,184,60
104.23.139.56,180,188,184,60
104.20.130.58,175,194,186,60
104.25.94.23,179,192,186,60
104.27.70.88,178,195,186,60
103.21.244.90,184,193,187,60
104.24.132.235,179,198,187,60
104.25.26.8,185,189,188,60
162.159.19.51,185,192,189,60
104.25.66.118,182,194,189,60
104.24.167.156,183,195,189,60
104.20.219.140,180,206,190,60
104.25.120.167,187,196,190,60
104.25.79.81,186,197,190,60
104.24.129.207,185,195,191,60
104.25.99.158,181,195,191,60
104.24.151.43,188,194,192,60
104.25.115.173,185,206,193,60
104.25.82.106,187,203,193,60
172.64.89.215,188,204,193,60
172.67.87.113,188,198,193,60
104.27.124.163,186,214,194,60
172.67.56.156,185,208,194,60
104.27.111.20,189,206,195,60
104.24.201.124,188,206,195,60
104.19.57.119,189,205,196,60
104.25.89.5,184,206,196,60
104.22.78.49,189,212,197,60
104.24.4.114,186,211,197,60
104.24.209.226,188,208,198,60
104.27.54.139,193,204,198,60
104.19.13.21,190,215,198,60
104.22.66.111,190,204,198,60
